query,n_docs,n_scores_differing,top5_same_exact,top5_same_round9
"zx00000q procedure",820,0,1,1
"zx00001q procedure",820,0,1,1
"zx00002q procedure",820,0,1,1
"zx00003q procedure",820,0,1,1
"zx00004q procedure",820,0,1,1
"zx00005q procedure",820,0,1,1
"zx00006q procedure",820,0,1,1
"zx00007q procedure",820,0,1,1
"zx00008q procedure",820,0,1,1
"zx00009q procedure",820,0,1,1
"zx00010q procedure",820,0,1,1
"zx00011q procedure",820,0,1,1
"zx00012q procedure",820,0,1,1
"zx00013q procedure",820,0,1,1
"zx00014q procedure",820,0,1,1
"zx00015q procedure",820,0,1,1
"zx00016q procedure",820,0,1,1
"zx00017q procedure",820,0,1,1
"zx00018q procedure",820,0,1,1
"zx00019q procedure",820,0,1,1
"zx00020q procedure",820,0,1,1
"zx00021q procedure",820,0,1,1
"zx00022q procedure",820,0,1,1
"zx00023q procedure",820,0,1,1
"zx00024q procedure",820,0,1,1
"zx00025q procedure",820,0,1,1
"zx00026q procedure",820,0,1,1
"zx00027q procedure",820,0,1,1
"zx00028q procedure",820,0,1,1
"zx00029q procedure",820,0,1,1
"zx00030q procedure",820,0,1,1
"zx00031q procedure",820,0,1,1
"zx00032q procedure",820,0,1,1
"zx00033q procedure",820,0,1,1
"zx00034q procedure",820,0,1,1
"zx00035q procedure",820,0,1,1
"zx00036q procedure",820,0,1,1
"zx00037q procedure",820,0,1,1
"zx00038q procedure",820,0,1,1
"zx00039q procedure",820,0,1,1
"zx00040q procedure",820,0,1,1
"zx00041q procedure",820,0,1,1
"zx00042q procedure",820,0,1,1
"zx00043q procedure",820,0,1,1
"zx00044q procedure",820,0,1,1
"zx00045q procedure",820,0,1,1
"zx00046q procedure",820,0,1,1
"zx00047q procedure",820,0,1,1
"zx00048q procedure",820,0,1,1
"zx00049q procedure",820,0,1,1
"zx00050q procedure",820,0,1,1
"zx00051q procedure",820,0,1,1
"zx00052q procedure",820,0,1,1
"zx00053q procedure",820,0,1,1
"zx00054q procedure",820,0,1,1
"zx00055q procedure",820,0,1,1
"zx00056q procedure",820,0,1,1
"zx00057q procedure",820,0,1,1
"zx00058q procedure",820,0,1,1
"zx00059q procedure",820,0,1,1
"zx00060q procedure",820,0,1,1
"zx00061q procedure",820,0,1,1
"zx00062q procedure",820,0,1,1
"zx00063q procedure",820,0,1,1
"zx00064q procedure",820,0,1,1
"zx00065q procedure",820,0,1,1
"zx00066q procedure",820,0,1,1
"zx00067q procedure",820,0,1,1
"zx00068q procedure",820,0,1,1
"zx00069q procedure",820,0,1,1
"zx00070q procedure",820,0,1,1
"zx00071q procedure",820,0,1,1
"zx00072q procedure",820,0,1,1
"zx00073q procedure",820,0,1,1
"zx00074q procedure",820,0,1,1
"zx00075q procedure",820,0,1,1
"zx00076q procedure",820,0,1,1
"zx00077q procedure",820,0,1,1
"zx00078q procedure",820,0,1,1
"zx00079q procedure",820,0,1,1
"zx00080q procedure",820,0,1,1
"zx00081q procedure",820,0,1,1
"zx00082q procedure",820,0,1,1
"zx00083q procedure",820,0,1,1
"zx00084q procedure",820,0,1,1
"zx00085q procedure",820,0,1,1
"zx00086q procedure",820,0,1,1
"zx00087q procedure",820,0,1,1
"zx00088q procedure",820,0,1,1
"zx00089q procedure",820,0,1,1
"zx00090q procedure",820,0,1,1
"zx00091q procedure",820,0,1,1
"zx00092q procedure",820,0,1,1
"zx00093q procedure",820,0,1,1
"zx00094q procedure",820,0,1,1
"zx00095q procedure",820,0,1,1
"zx00096q procedure",820,0,1,1
"zx00097q procedure",820,0,1,1
"zx00098q procedure",820,0,1,1
"zx00099q procedure",820,0,1,1
"zx00100q procedure",820,0,1,1
"zx00101q procedure",820,0,1,1
"zx00102q procedure",820,0,1,1
"zx00103q procedure",820,0,1,1
"zx00104q procedure",820,0,1,1
"zx00105q procedure",820,0,1,1
"zx00106q procedure",820,0,1,1
"zx00107q procedure",820,0,1,1
"zx00108q procedure",820,0,1,1
"zx00109q procedure",820,0,1,1
"zx00110q procedure",820,0,1,1
"zx00111q procedure",820,0,1,1
"zx00112q procedure",820,0,1,1
"zx00113q procedure",820,0,1,1
"zx00114q procedure",820,0,1,1
"zx00115q procedure",820,0,1,1
"zx00116q procedure",820,0,1,1
"zx00117q procedure",820,0,1,1
"zx00118q procedure",820,0,1,1
"zx00119q procedure",820,0,1,1
"zx00120q procedure",820,0,1,1
"zx00121q procedure",820,0,1,1
"zx00122q procedure",820,0,1,1
"zx00123q procedure",820,0,1,1
"zx00124q procedure",820,0,1,1
"zx00125q procedure",820,0,1,1
"zx00126q procedure",820,0,1,1
"zx00127q procedure",820,0,1,1
"zx00128q procedure",820,0,1,1
"zx00129q procedure",820,0,1,1
"zx00130q procedure",820,0,1,1
"zx00131q procedure",820,0,1,1
"zx00132q procedure",820,0,1,1
"zx00133q procedure",820,0,1,1
"zx00134q procedure",820,0,1,1
"zx00135q procedure",820,0,1,1
"zx00136q procedure",820,0,1,1
"zx00137q procedure",820,0,1,1
"zx00138q procedure",820,0,1,1
"zx00139q procedure",820,0,1,1
"zx00140q procedure",820,0,1,1
"zx00141q procedure",820,0,1,1
"zx00142q procedure",820,0,1,1
"zx00143q procedure",820,0,1,1
"zx00144q procedure",820,0,1,1
"zx00145q procedure",820,0,1,1
"zx00146q procedure",820,0,1,1
"zx00147q procedure",820,0,1,1
"zx00148q procedure",820,0,1,1
"zx00149q procedure",820,0,1,1
"zx00150q procedure",820,0,1,1
"zx00151q procedure",820,0,1,1
"zx00152q procedure",820,0,1,1
"zx00153q procedure",820,0,1,1
"zx00154q procedure",820,0,1,1
"zx00155q procedure",820,0,1,1
"zx00156q procedure",820,0,1,1
"zx00157q procedure",820,0,1,1
"zx00158q procedure",820,0,1,1
"zx00159q procedure",820,0,1,1
"zx00160q procedure",820,0,1,1
"zx00161q procedure",820,0,1,1
"zx00162q procedure",820,0,1,1
"zx00163q procedure",820,0,1,1
"zx00164q procedure",820,0,1,1
"zx00165q procedure",820,0,1,1
"zx00166q procedure",820,0,1,1
"zx00167q procedure",820,0,1,1
"zx00168q procedure",820,0,1,1
"zx00169q procedure",820,0,1,1
"zx00170q procedure",820,0,1,1
"zx00171q procedure",820,0,1,1
"zx00172q procedure",820,0,1,1
"zx00173q procedure",820,0,1,1
"zx00174q procedure",820,0,1,1
"zx00175q procedure",820,0,1,1
"zx00176q procedure",820,0,1,1
"zx00177q procedure",820,0,1,1
"zx00178q procedure",820,0,1,1
"zx00179q procedure",820,0,1,1
"zx00180q procedure",820,0,1,1
"zx00181q procedure",820,0,1,1
"zx00182q procedure",820,0,1,1
"zx00183q procedure",820,0,1,1
"zx00184q procedure",820,0,1,1
"zx00185q procedure",820,0,1,1
"zx00186q procedure",820,0,1,1
"zx00187q procedure",820,0,1,1
"zx00188q procedure",820,0,1,1
"zx00189q procedure",820,0,1,1
"zx00190q procedure",820,0,1,1
"zx00191q procedure",820,0,1,1
"zx00192q procedure",820,0,1,1
"zx00193q procedure",820,0,1,1
"zx00194q procedure",820,0,1,1
"zx00195q procedure",820,0,1,1
"zx00196q procedure",820,0,1,1
"zx00197q procedure",820,0,1,1
"zx00198q procedure",820,0,1,1
"zx00199q procedure",820,0,1,1
"zx00200q procedure",820,0,1,1
"zx00201q procedure",820,0,1,1
"zx00202q procedure",820,0,1,1
"zx00203q procedure",820,0,1,1
"zx00204q procedure",820,0,1,1
"zx00205q procedure",820,0,1,1
"zx00206q procedure",820,0,1,1
"zx00207q procedure",820,0,1,1
"zx00208q procedure",820,0,1,1
"zx00209q procedure",820,0,1,1
"zx00210q procedure",820,0,1,1
"zx00211q procedure",820,0,1,1
"zx00212q procedure",820,0,1,1
"zx00213q procedure",820,0,1,1
"zx00214q procedure",820,0,1,1
"zx00215q procedure",820,0,1,1
"zx00216q procedure",820,0,1,1
"zx00217q procedure",820,0,1,1
"zx00218q procedure",820,0,1,1
"zx00219q procedure",820,0,1,1
"zx00220q procedure",820,0,1,1
"zx00221q procedure",820,0,1,1
